iter	Passed	Remaining
0	1	595
1	3	606
2	5	675
3	6	631
4	7	621
5	9	616
6	10	601
7	12	590
8	13	593
9	15	588
10	16	584
11	18	583
12	19	578
13	20	578
14	22	575
15	23	569
16	25	567
17	26	564
18	28	568
19	29	562
20	31	560
21	32	558
22	33	555
23	35	553
24	36	549
25	37	546
26	39	543
27	40	539
28	41	536
29	43	534
30	44	533
31	46	534
32	47	532
33	49	529
34	50	526
35	51	524
36	53	526
37	55	525
38	56	525
39	58	524
40	59	524
41	61	524
42	62	522
43	64	523
44	66	522
45	67	520
46	69	518
47	70	517
48	72	519
49	73	517
50	75	515
51	76	513
52	78	511
53	79	510
54	81	509
55	82	508
56	84	506
57	85	503
58	86	501
59	88	500
60	89	498
61	91	497
62	92	494
63	94	494
64	95	491
65	96	490
66	98	488
67	99	486
68	100	484
69	102	483
70	103	481
71	105	480
72	106	478
73	108	478
74	109	476
75	111	476
76	113	474
77	114	472
78	116	471
79	118	472
80	119	471
81	121	470
82	122	469
83	124	467
84	125	465
85	127	464
86	128	462
87	130	461
88	131	459
89	133	459
90	134	458
91	136	456
92	138	455
93	139	454
94	141	453
95	142	451
96	143	449
97	145	448
98	146	446
99	148	445
100	150	444
101	151	442
102	152	441
103	154	439
104	155	437
105	157	435
106	158	433
107	159	431
108	161	429
109	162	428
110	163	426
111	165	424
112	166	422
113	167	420
114	168	418
115	170	417
116	171	415
117	173	414
118	174	412
119	175	410
120	177	408
121	178	407
122	180	406
123	181	404
124	183	403
125	184	401
126	186	399
127	187	398
128	188	396
129	190	395
130	191	393
131	193	392
132	194	390
133	195	388
134	197	387
135	198	385
136	200	384
137	202	383
138	203	382
139	205	381
140	206	379
141	208	378
142	209	376
143	211	375
144	212	373
145	213	372
146	215	370
147	216	369
148	218	367
149	219	366
150	220	364
151	222	362
152	223	361
153	225	359
154	226	358
155	228	356
156	229	355
157	231	354
158	232	353
159	234	351
160	235	350
161	237	348
162	238	347
163	240	345
164	241	344
165	243	342
166	244	341
167	246	339
168	247	338
169	248	336
170	250	335
171	252	334
172	253	332
173	255	331
174	256	329
175	258	328
176	259	327
177	261	326
178	262	324
179	264	323
180	266	321
181	267	320
182	269	319
183	270	317
184	271	316
185	273	314
186	274	313
187	276	311
188	278	310
189	279	308
190	280	307
191	282	305
192	283	304
193	285	303
194	287	302
195	288	300
196	290	299
197	291	297
198	293	296
199	294	294
200	296	293
201	297	291
202	298	290
203	300	288
204	301	287
205	303	285
206	305	284
207	306	282
208	307	281
209	309	279
210	310	278
211	312	277
212	313	275
213	315	273
214	316	272
215	317	270
216	319	269
217	320	267
218	322	266
219	323	264
220	325	263
221	326	262
222	328	260
223	330	259
224	331	257
225	333	256
226	334	254
227	336	253
228	337	252
229	339	250
230	340	249
231	342	247
232	343	246
233	345	245
234	347	243
235	348	242
236	350	240
237	351	239
238	353	237
239	354	236
240	355	234
241	357	233
242	359	232
243	360	230
244	362	229
245	363	227
246	364	226
247	366	224
248	367	223
249	369	221
250	370	220
251	372	218
252	374	217
253	375	215
254	377	214
255	378	212
256	380	211
257	381	209
258	382	208
259	384	207
260	386	205
261	387	204
262	389	202
263	390	201
264	391	199
265	393	198
266	394	196
267	396	195
268	397	193
269	399	192
270	400	190
271	402	189
272	403	187
273	405	186
274	406	184
275	408	183
276	409	181
277	411	180
278	412	178
279	414	177
280	415	175
281	416	174
282	418	172
283	419	171
284	421	170
285	422	168
286	424	167
287	426	165
288	427	164
289	428	162
290	430	161
291	431	159
292	432	158
293	434	156
294	435	155
295	437	153
296	438	152
297	440	150
298	441	149
299	443	147
300	444	146
301	446	144
302	447	143
303	449	141
304	451	140
305	452	139
306	454	137
307	455	136
308	457	134
309	459	133
310	460	131
311	462	130
312	463	128
313	464	127
314	466	125
315	468	124
316	469	122
317	470	121
318	472	120
319	474	118
320	475	117
321	477	115
322	478	114
323	480	112
324	481	111
325	483	109
326	484	108
327	485	106
328	487	105
329	489	103
330	490	102
331	492	100
332	493	99
333	495	97
334	496	96
335	497	94
336	499	93
337	501	91
338	502	90
339	504	88
340	505	87
341	507	86
342	508	84
343	510	83
344	512	81
345	513	80
346	515	78
347	516	77
348	518	75
349	519	74
350	520	72
351	522	71
352	523	69
353	525	68
354	526	66
355	528	65
356	529	63
357	531	62
358	532	60
359	533	59
360	535	57
361	537	56
362	538	54
363	539	53
364	541	51
365	542	50
366	544	48
367	545	47
368	547	45
369	548	44
370	550	43
371	551	41
372	553	40
373	554	38
374	556	37
375	557	35
376	559	34
377	560	32
378	562	31
379	563	29
380	564	28
381	566	26
382	567	25
383	569	23
384	570	22
385	572	20
386	573	19
387	575	17
388	576	16
389	578	14
390	579	13
391	581	11
392	582	10
393	583	8
394	585	7
395	586	5
396	588	4
397	589	2
398	590	1
399	592	0
