iter	Logloss
0	0.6239931758
1	0.5728477622
2	0.52238909
3	0.489994329
4	0.4610637929
5	0.4402021812
6	0.4187942281
7	0.400976153
8	0.387412881
9	0.3756933952
10	0.3686640198
11	0.3626171248
12	0.3571093417
13	0.3492452114
14	0.3443965632
15	0.3401315877
16	0.3380952911
17	0.3337276947
18	0.3312891994
19	0.3290066189
20	0.3267256699
21	0.3246493869
22	0.3214199298
23	0.3198414289
24	0.3167676946
25	0.3143379963
26	0.3122421041
27	0.3103907683
28	0.3088106679
29	0.3080391874
30	0.3058079174
31	0.3045601195
32	0.3036094362
33	0.3022913903
34	0.3014210955
35	0.3002426499
36	0.2988115547
37	0.2979697301
38	0.2966974926
39	0.2959953324
40	0.295287926
41	0.2947646487
42	0.2941501705
43	0.2934531926
44	0.2926885897
45	0.2921633291
46	0.2919744016
47	0.2912254413
48	0.2905614441
49	0.2898137315
50	0.2892952845
51	0.2887757499
52	0.2883341727
53	0.2878301209
54	0.2871032651
55	0.2863814636
56	0.2861676166
57	0.2849351415
58	0.2845137814
59	0.2842147155
60	0.2838067589
61	0.2834349178
62	0.2829174945
63	0.282242525
64	0.2818169744
65	0.2814587607
66	0.2810600489
67	0.2805510707
68	0.2799318582
69	0.2795936057
70	0.2790051346
71	0.2784197985
72	0.27810509
73	0.2775664579
74	0.2772609623
75	0.2769487489
76	0.2765509967
77	0.2762644706
78	0.2758860078
79	0.2755900449
80	0.2749715681
81	0.2747249323
82	0.2740180377
83	0.27360154
84	0.2732950207
85	0.2729327764
86	0.2724880642
87	0.2722178525
88	0.2717781627
89	0.2709278291
90	0.2707149098
91	0.2703636057
92	0.2698000222
93	0.2694963499
94	0.2690787325
95	0.2687061238
96	0.2684015238
97	0.2682304942
98	0.2681355986
99	0.2677170855
100	0.2668722701
101	0.2664984457
102	0.2662394622
103	0.2657338268
104	0.2653863455
105	0.2649085087
106	0.2645307657
107	0.2640649408
108	0.2635186793
109	0.263097943
110	0.2622548549
111	0.2617230845
112	0.2609715492
113	0.2606847351
114	0.2602687812
115	0.259648561
116	0.2589538542
117	0.2586994291
118	0.2583997235
119	0.2580354639
120	0.2577571269
121	0.2573490743
122	0.2570678263
123	0.2567946396
124	0.2561922693
125	0.2556998775
126	0.2553115941
127	0.2547740017
128	0.2544109097
129	0.2540256332
130	0.2537213371
131	0.2533553341
132	0.2530309329
133	0.2525391489
134	0.2517938994
135	0.2512871764
136	0.2508919514
137	0.2504956067
138	0.2498019876
139	0.2494368323
140	0.249042359
141	0.2489818197
142	0.2485453288
143	0.2479937411
144	0.2477074709
145	0.2472282426
146	0.2467576033
147	0.2463501744
148	0.2458092392
149	0.2454037776
150	0.2450286417
151	0.2447077753
152	0.2443196199
153	0.243959119
154	0.2436913864
155	0.2433609872
156	0.2430371618
157	0.2425961285
158	0.2424338159
159	0.2420199572
160	0.2416959879
161	0.2413121829
162	0.2408510444
163	0.2405700204
164	0.2403283109
165	0.2399534949
166	0.2395732888
167	0.2392762382
168	0.2388711286
169	0.2382755879
170	0.2377353724
171	0.2374010066
172	0.2370781249
173	0.2367092748
174	0.2363455431
175	0.2359813634
176	0.2356958769
177	0.235429072
178	0.2351577567
179	0.2346460434
180	0.2342086248
181	0.2338619112
182	0.2337001745
183	0.2333928394
184	0.2329691441
185	0.2325580845
186	0.2322364983
187	0.2318046938
188	0.2315304354
189	0.2312431096
190	0.2309512092
191	0.2306533909
192	0.2303454961
193	0.2301499469
194	0.2298401007
195	0.2295536705
196	0.2293979477
197	0.229101377
198	0.2288351159
199	0.2283906277
200	0.2280243368
201	0.2276930259
202	0.227417504
203	0.2270727577
204	0.2267532828
205	0.22641599
206	0.2260833516
207	0.225815731
208	0.2256754749
209	0.2253812394
210	0.2250027767
211	0.224758604
212	0.2245554414
213	0.2239847723
214	0.2237166079
215	0.2234735709
216	0.2233008939
217	0.223069181
218	0.222858277
219	0.2226653669
220	0.2225412493
221	0.2222859764
222	0.2219954197
223	0.2217040312
224	0.221353143
225	0.2209932659
226	0.22071768
227	0.220360586
228	0.2199893688
229	0.2197675405
230	0.2195826117
231	0.2193456206
232	0.219007672
233	0.2186920838
234	0.2183971445
235	0.2181179598
236	0.2178149273
237	0.2177357864
238	0.2176037994
239	0.2174098177
240	0.2169643058
241	0.2166396327
242	0.2163822646
243	0.2160395976
244	0.2158515338
245	0.2155521161
246	0.215121863
247	0.2147715507
248	0.2145209003
249	0.2143414415
