iter	Passed	Remaining
0	25	6270
1	49	6109
2	74	6093
3	98	6082
4	123	6031
5	147	6003
6	172	5981
7	197	5977
8	223	5986
9	250	6008
10	280	6092
11	310	6153
12	339	6182
13	365	6154
14	392	6147
15	420	6146
16	451	6185
17	478	6166
18	505	6143
19	529	6091
20	554	6051
21	578	5999
22	602	5946
23	626	5898
24	650	5851
25	674	5814
26	699	5774
27	722	5731
28	746	5688
29	772	5665
30	797	5632
31	820	5592
32	843	5549
33	867	5514
34	888	5459
35	909	5403
36	929	5351
37	950	5300
38	971	5255
39	992	5209
40	1012	5160
41	1033	5118
42	1054	5075
43	1075	5035
44	1096	4995
45	1116	4952
46	1133	4896
47	1154	4857
48	1174	4819
49	1195	4782
50	1214	4739
51	1234	4700
52	1252	4657
53	1271	4616
54	1290	4576
55	1309	4536
56	1327	4495
57	1346	4456
58	1364	4418
59	1383	4380
60	1403	4348
61	1422	4313
62	1441	4277
63	1459	4241
64	1478	4208
65	1497	4173
66	1515	4138
67	1534	4106
68	1553	4074
69	1572	4042
70	1591	4012
71	1610	3981
72	1629	3949
73	1647	3918
74	1666	3887
75	1684	3857
76	1703	3827
77	1722	3799
78	1742	3771
79	1761	3743
80	1781	3716
81	1800	3688
82	1820	3663
83	1839	3635
84	1859	3609
85	1879	3583
86	1897	3555
87	1916	3527
88	1934	3500
89	1953	3473
90	1972	3446
91	1990	3418
92	2009	3392
93	2028	3366
94	2046	3339
95	2065	3313
96	2085	3289
97	2103	3262
98	2122	3237
99	2141	3211
100	2160	3187
101	2182	3166
102	2200	3141
103	2219	3116
104	2238	3091
105	2256	3065
106	2275	3040
107	2296	3019
108	2314	2994
109	2333	2969
110	2352	2946
111	2371	2922
112	2390	2898
113	2409	2874
114	2428	2850
115	2446	2826
116	2466	2803
117	2485	2779
118	2504	2756
119	2522	2733
120	2542	2710
121	2561	2687
122	2581	2665
123	2600	2642
124	2619	2619
125	2638	2596
126	2657	2573
127	2675	2550
128	2694	2527
129	2713	2504
130	2733	2483
131	2752	2460
132	2770	2437
133	2789	2415
134	2808	2392
135	2826	2369
136	2845	2347
137	2864	2324
138	2882	2302
139	2902	2280
140	2921	2258
141	2940	2236
142	2959	2214
143	2978	2192
144	2998	2171
145	3017	2149
146	3036	2127
147	3054	2105
148	3073	2083
149	3092	2061
150	3110	2039
151	3129	2017
152	3147	1995
153	3166	1974
154	3185	1952
155	3204	1930
156	3223	1909
157	3242	1887
158	3260	1866
159	3279	1844
160	3298	1823
161	3316	1801
162	3335	1780
163	3353	1758
164	3372	1737
165	3390	1715
166	3409	1694
167	3428	1673
168	3447	1652
169	3466	1631
170	3485	1610
171	3504	1589
172	3523	1568
173	3542	1547
174	3561	1526
175	3581	1505
176	3600	1484
177	3619	1464
178	3638	1443
179	3656	1422
180	3675	1400
181	3693	1380
182	3713	1359
183	3732	1338
184	3751	1318
185	3770	1297
186	3788	1276
187	3807	1255
188	3826	1235
189	3845	1214
190	3863	1193
191	3882	1172
192	3901	1152
193	3920	1131
194	3939	1111
195	3958	1090
196	3976	1069
197	3995	1049
198	4014	1028
199	4033	1008
200	4052	987
201	4071	967
202	4089	946
203	4107	926
204	4126	905
205	4144	885
206	4163	864
207	4182	844
208	4201	824
209	4220	803
210	4238	783
211	4257	763
212	4276	742
213	4296	722
214	4315	702
215	4334	682
216	4353	662
217	4372	641
218	4390	621
219	4409	601
220	4428	581
221	4447	560
222	4465	540
223	4484	520
224	4503	500
225	4522	480
226	4541	460
227	4560	440
228	4579	419
229	4597	399
230	4616	379
231	4635	359
232	4654	339
233	4673	319
234	4701	300
235	4720	280
236	4740	260
237	4758	239
238	4777	219
239	4796	199
240	4815	179
241	4834	159
242	4853	139
243	4872	119
244	4891	99
245	4910	79
246	4928	59
247	4947	39
248	4965	19
249	4984	0
